FileName1,NumberOfNucleotides1,NumberOfWeakBonds1,IsPseudoknotted1,TimeToGenerateStructuralSequence1[ns],FileName2,NumberOfNucleotides2,NumberOfWeakBonds2,IsPseudoknotted2,TimeToGenerateStructuralSequence2[ns],MaxNumberOfNucleotides1-2,STREQDistance,TimeToCalculateSTREQDistance[ns]
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_Ac_4.ct",121,40,No,138208,121,1,2787496
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_Ac_44.ct",120,40,No,127384,120,1,800547
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_Ac_7.ct",122,39,No,114787,122,0,776116
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_Ac_8.ct",123,39,No,103544,123,0,783581
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_B_18.ct",121,40,No,108240,121,1,815796
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_Cy_51.ct",121,39,No,99630,121,0,693959
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_D_13.ct",124,40,No,91721,124,1,744787
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_D_14.ct",124,40,No,106772,124,1,735667
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_D_15.ct",124,40,No,134517,124,1,1140661
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_D_53.ct",121,39,No,90993,121,1,1094935
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_D_54.ct",121,39,No,92114,121,1,1062998
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_D_55.ct",121,40,No,97941,121,1,823966
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_D_56.ct",122,41,No,66245,122,2,713268
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_F_11.ct",118,38,No,77269,120,1,657744
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_F_22.ct",117,38,No,63792,120,1,677072
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_F_23.ct",117,38,No,65721,120,1,626602
"CRW_5S_B_Ac_30.ct",120,39,No,1448027,"CRW_5S_B_F_24.ct",119,38,No,63977,120,1,666144
