Id1;Id2;Distance
CRW_16S_B_Ac_106;CRW_16S_B_Ac_108;188
CRW_16S_B_Ac_106;CRW_16S_B_Ac_109;160.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_10;68.75
CRW_16S_B_Ac_106;CRW_16S_B_Ac_110;169
CRW_16S_B_Ac_106;CRW_16S_B_Ac_111;201.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_112;187.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_113;145.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_114;146.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_126;166
CRW_16S_B_Ac_106;CRW_16S_B_Ac_145;123.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_163;141.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_164;159.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_165;300.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_166;134.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_167;145.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_169;139.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_170;297.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_171;136.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_173;323.75
CRW_16S_B_Ac_106;CRW_16S_B_Ac_174;139.75
CRW_16S_B_Ac_106;CRW_16S_B_Ac_178;140.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_179;141.75
CRW_16S_B_Ac_106;CRW_16S_B_Ac_180;159.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_181;142.75
CRW_16S_B_Ac_106;CRW_16S_B_Ac_182;143.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_183;156.75
CRW_16S_B_Ac_106;CRW_16S_B_Ac_184;331.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_186;147
CRW_16S_B_Ac_106;CRW_16S_B_Ac_187;173.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_188;140
CRW_16S_B_Ac_106;CRW_16S_B_Ac_189;179.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_190;140
CRW_16S_B_Ac_106;CRW_16S_B_Ac_191;133.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_193;153
CRW_16S_B_Ac_106;CRW_16S_B_Ac_194;143.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_195;330.5
CRW_16S_B_Ac_106;CRW_16S_B_Ac_196;143.75
CRW_16S_B_Ac_106;CRW_16S_B_Ac_197;158.25
CRW_16S_B_Ac_106;CRW_16S_B_Ac_199;129.25
