Id1;Id2;Distance
CRW_23S_E_A_27;CRW_23S_E_A_28;16007.0
CRW_23S_E_A_27;CRW_23S_E_A_4;115177.0
CRW_23S_E_A_27;CRW_23S_E_F_20;155900.0
CRW_23S_E_A_27;CRW_23S_E_F_21;113676.0
CRW_23S_E_A_27;CRW_23S_E_F_29;78308.0
CRW_23S_E_A_27;CRW_23S_E_G_2;115569.0
CRW_23S_E_A_27;CRW_23S_E_M_12;184600.0
CRW_23S_E_A_27;CRW_23S_E_M_13;163565.0
CRW_23S_E_A_27;CRW_23S_E_M_15;166265.0
CRW_23S_E_A_27;CRW_23S_E_M_17;175300.0
CRW_23S_E_A_27;CRW_23S_E_M_18;164766.0
CRW_23S_E_A_27;CRW_23S_E_M_19;162963.0
CRW_23S_E_A_27;CRW_23S_E_M_22;173000.0
CRW_23S_E_A_27;CRW_23S_E_M_7;170167.0
CRW_23S_E_A_27;CRW_23S_E_V_1;112973.0
CRW_23S_E_A_27;CRW_23S_E_V_23;116274.0
CRW_23S_E_A_27;CRW_23S_E_V_24;125500.0
CRW_23S_E_A_27;CRW_23S_E_V_26;125500.0
CRW_23S_E_A_27;CRW_23S_E_V_5;116373.0
CRW_23S_E_A_27;CRW_23S_E_V_6;119173.0
CRW_23S_E_A_28;CRW_23S_E_A_4;125186.0
CRW_23S_E_A_28;CRW_23S_E_F_20;163100.0
CRW_23S_E_A_28;CRW_23S_E_F_21;124885.0
CRW_23S_E_A_28;CRW_23S_E_F_29;86915.0
CRW_23S_E_A_28;CRW_23S_E_G_2;125578.0
CRW_23S_E_A_28;CRW_23S_E_M_12;195800.0
CRW_23S_E_A_28;CRW_23S_E_M_13;174765.0
CRW_23S_E_A_28;CRW_23S_E_M_15;177465.0
CRW_23S_E_A_28;CRW_23S_E_M_17;186500.0
CRW_23S_E_A_28;CRW_23S_E_M_18;175966.0
CRW_23S_E_A_28;CRW_23S_E_M_19;174163.0
CRW_23S_E_A_28;CRW_23S_E_M_22;184000.0
CRW_23S_E_A_28;CRW_23S_E_M_7;181367.0
CRW_23S_E_A_28;CRW_23S_E_V_1;122882.0
CRW_23S_E_A_28;CRW_23S_E_V_23;127483.0
