Id1;Id2;Distance
CRW_23S_E_A_27;CRW_23S_E_A_28;0
CRW_23S_E_A_27;CRW_23S_E_A_4;0
CRW_23S_E_A_27;CRW_23S_E_F_20;3
CRW_23S_E_A_27;CRW_23S_E_F_21;0
CRW_23S_E_A_27;CRW_23S_E_F_29;0
CRW_23S_E_A_27;CRW_23S_E_G_2;0
CRW_23S_E_A_27;CRW_23S_E_M_12;3
CRW_23S_E_A_27;CRW_23S_E_M_13;2
CRW_23S_E_A_27;CRW_23S_E_M_15;2
CRW_23S_E_A_27;CRW_23S_E_M_17;3
CRW_23S_E_A_27;CRW_23S_E_M_18;2
CRW_23S_E_A_27;CRW_23S_E_M_19;2
CRW_23S_E_A_27;CRW_23S_E_M_22;3
CRW_23S_E_A_27;CRW_23S_E_M_7;2
CRW_23S_E_A_27;CRW_23S_E_V_1;0
CRW_23S_E_A_27;CRW_23S_E_V_23;0
CRW_23S_E_A_27;CRW_23S_E_V_24;3
CRW_23S_E_A_27;CRW_23S_E_V_26;3
CRW_23S_E_A_27;CRW_23S_E_V_5;0
CRW_23S_E_A_27;CRW_23S_E_V_6;0
CRW_23S_E_A_28;CRW_23S_E_A_4;0
CRW_23S_E_A_28;CRW_23S_E_F_20;3
CRW_23S_E_A_28;CRW_23S_E_F_21;0
CRW_23S_E_A_28;CRW_23S_E_F_29;0
CRW_23S_E_A_28;CRW_23S_E_G_2;0
CRW_23S_E_A_28;CRW_23S_E_M_12;3
CRW_23S_E_A_28;CRW_23S_E_M_13;2
CRW_23S_E_A_28;CRW_23S_E_M_15;2
CRW_23S_E_A_28;CRW_23S_E_M_17;3
CRW_23S_E_A_28;CRW_23S_E_M_18;2
CRW_23S_E_A_28;CRW_23S_E_M_19;2
CRW_23S_E_A_28;CRW_23S_E_M_22;3
CRW_23S_E_A_28;CRW_23S_E_M_7;2
CRW_23S_E_A_28;CRW_23S_E_V_1;0
CRW_23S_E_A_28;CRW_23S_E_V_23;0
CRW_23S_E_A_28;CRW_23S_E_V_24;3
CRW_23S_E_A_28;CRW_23S_E_V_26;3
CRW_23S_E_A_28;CRW_23S_E_V_5;0
CRW_23S_E_A_28;CRW_23S_E_V_6;0
CRW_23S_E_A_4;CRW_23S_E_F_20;3
CRW_23S_E_A_4;CRW_23S_E_F_21;0
CRW_23S_E_A_4;CRW_23S_E_F_29;0
CRW_23S_E_A_4;CRW_23S_E_G_2;0
CRW_23S_E_A_4;CRW_23S_E_M_12;3
CRW_23S_E_A_4;CRW_23S_E_M_13;2
CRW_23S_E_A_4;CRW_23S_E_M_15;2
CRW_23S_E_A_4;CRW_23S_E_M_17;3
CRW_23S_E_A_4;CRW_23S_E_M_18;2
CRW_23S_E_A_4;CRW_23S_E_M_19;2
CRW_23S_E_A_4;CRW_23S_E_M_22;3
CRW_23S_E_A_4;CRW_23S_E_M_7;2
CRW_23S_E_A_4;CRW_23S_E_V_1;0
CRW_23S_E_A_4;CRW_23S_E_V_23;0
CRW_23S_E_A_4;CRW_23S_E_V_24;3
CRW_23S_E_A_4;CRW_23S_E_V_26;3
CRW_23S_E_A_4;CRW_23S_E_V_5;0
CRW_23S_E_A_4;CRW_23S_E_V_6;0
CRW_23S_E_F_20;CRW_23S_E_F_21;3
CRW_23S_E_F_20;CRW_23S_E_F_29;3
CRW_23S_E_F_20;CRW_23S_E_G_2;3
CRW_23S_E_F_20;CRW_23S_E_M_12;0
CRW_23S_E_F_20;CRW_23S_E_M_13;1
CRW_23S_E_F_20;CRW_23S_E_M_15;1
CRW_23S_E_F_20;CRW_23S_E_M_17;0
CRW_23S_E_F_20;CRW_23S_E_M_18;1
CRW_23S_E_F_20;CRW_23S_E_M_19;1
CRW_23S_E_F_20;CRW_23S_E_M_22;0
CRW_23S_E_F_20;CRW_23S_E_M_7;1
CRW_23S_E_F_20;CRW_23S_E_V_1;3
CRW_23S_E_F_20;CRW_23S_E_V_23;3
CRW_23S_E_F_20;CRW_23S_E_V_24;0
CRW_23S_E_F_20;CRW_23S_E_V_26;0
CRW_23S_E_F_20;CRW_23S_E_V_5;3
CRW_23S_E_F_20;CRW_23S_E_V_6;3
CRW_23S_E_F_21;CRW_23S_E_F_29;0
CRW_23S_E_F_21;CRW_23S_E_G_2;0
CRW_23S_E_F_21;CRW_23S_E_M_12;3
CRW_23S_E_F_21;CRW_23S_E_M_13;2
CRW_23S_E_F_21;CRW_23S_E_M_15;2
CRW_23S_E_F_21;CRW_23S_E_M_17;3
CRW_23S_E_F_21;CRW_23S_E_M_18;2
CRW_23S_E_F_21;CRW_23S_E_M_19;2
CRW_23S_E_F_21;CRW_23S_E_M_22;3
CRW_23S_E_F_21;CRW_23S_E_M_7;2
CRW_23S_E_F_21;CRW_23S_E_V_1;0
CRW_23S_E_F_21;CRW_23S_E_V_23;0
CRW_23S_E_F_21;CRW_23S_E_V_24;3
CRW_23S_E_F_21;CRW_23S_E_V_26;3
CRW_23S_E_F_21;CRW_23S_E_V_5;0
CRW_23S_E_F_21;CRW_23S_E_V_6;0
CRW_23S_E_F_29;CRW_23S_E_G_2;0
CRW_23S_E_F_29;CRW_23S_E_M_12;3
CRW_23S_E_F_29;CRW_23S_E_M_13;2
CRW_23S_E_F_29;CRW_23S_E_M_15;2
CRW_23S_E_F_29;CRW_23S_E_M_17;3
CRW_23S_E_F_29;CRW_23S_E_M_18;2
CRW_23S_E_F_29;CRW_23S_E_M_19;2
CRW_23S_E_F_29;CRW_23S_E_M_22;3
CRW_23S_E_F_29;CRW_23S_E_M_7;2
CRW_23S_E_F_29;CRW_23S_E_V_1;0
CRW_23S_E_F_29;CRW_23S_E_V_23;0
CRW_23S_E_F_29;CRW_23S_E_V_24;3
CRW_23S_E_F_29;CRW_23S_E_V_26;3
CRW_23S_E_F_29;CRW_23S_E_V_5;0
CRW_23S_E_F_29;CRW_23S_E_V_6;0
CRW_23S_E_G_2;CRW_23S_E_M_12;3
CRW_23S_E_G_2;CRW_23S_E_M_13;2
CRW_23S_E_G_2;CRW_23S_E_M_15;2
CRW_23S_E_G_2;CRW_23S_E_M_17;3
CRW_23S_E_G_2;CRW_23S_E_M_18;2
CRW_23S_E_G_2;CRW_23S_E_M_19;2
CRW_23S_E_G_2;CRW_23S_E_M_22;3
CRW_23S_E_G_2;CRW_23S_E_M_7;2
CRW_23S_E_G_2;CRW_23S_E_V_1;0
CRW_23S_E_G_2;CRW_23S_E_V_23;0
CRW_23S_E_G_2;CRW_23S_E_V_24;3
CRW_23S_E_G_2;CRW_23S_E_V_26;3
CRW_23S_E_G_2;CRW_23S_E_V_5;0
CRW_23S_E_G_2;CRW_23S_E_V_6;0
