Id1;Id2;Distance
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_106.ct;243
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_108.ct;432
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_109.ct;450
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_110.ct;452
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_111.ct;432
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_112.ct;433
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_113.ct;431
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_114.ct;431
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_126.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_145.ct;435
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_163.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_164.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_165.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_166.ct;435
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_167.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_169.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_170.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_171.ct;435
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_173.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_174.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_178.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_179.ct;431
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_180.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_181.ct;429
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_182.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_183.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_184.ct;441
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_186.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_187.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_188.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_189.ct;432
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_190.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_191.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_193.ct;441
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_194.ct;432
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_195.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_196.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_197.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_199.ct;393
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_200.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_201.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_202.ct;435
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_203.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_204.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_205.ct;434
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_206.ct;328
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_207.ct;328
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_3.ct;950
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_55.ct;398
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ac_75.ct;435
CRW_16S_B_Ac_10.ct;CRW_16S_B_Aci_1.ct;925
CRW_16S_B_Ac_10.ct;CRW_16S_B_Aci_92.ct;414
CRW_16S_B_Ac_10.ct;CRW_16S_B_Aq_8.ct;967
CRW_16S_B_Ac_10.ct;CRW_16S_B_Aq_9.ct;967
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ba_135.ct;447
CRW_16S_B_Ac_10.ct;CRW_16S_B_Ba_17.ct;439
