Id1;Id2;Distance
CRW_23S_B_Ac_34;CRW_23S_B_Ac_35;12
CRW_23S_B_Ac_34;CRW_23S_B_C_13;0
CRW_23S_B_Ac_34;CRW_23S_B_D_20;0
CRW_23S_B_Ac_34;CRW_23S_B_D_21;0
CRW_23S_B_Ac_34;CRW_23S_B_D_49;12
CRW_23S_B_Ac_34;CRW_23S_B_F_16;0
CRW_23S_B_Ac_34;CRW_23S_B_F_17;0
CRW_23S_B_Ac_34;CRW_23S_B_F_18;0
CRW_23S_B_Ac_34;CRW_23S_B_F_19;0
CRW_23S_B_Ac_34;CRW_23S_B_F_22;0
CRW_23S_B_Ac_34;CRW_23S_B_F_23;0
CRW_23S_B_Ac_34;CRW_23S_B_F_30;0
CRW_23S_B_Ac_34;CRW_23S_B_F_32;0
CRW_23S_B_Ac_34;CRW_23S_B_F_33;0
CRW_23S_B_Ac_34;CRW_23S_B_F_3;1
CRW_23S_B_Ac_34;CRW_23S_B_F_45;0
CRW_23S_B_Ac_34;CRW_23S_B_F_46;0
CRW_23S_B_Ac_34;CRW_23S_B_F_4;0
CRW_23S_B_Ac_34;CRW_23S_B_P_10;0
CRW_23S_B_Ac_34;CRW_23S_B_P_11;0
CRW_23S_B_Ac_34;CRW_23S_B_P_12;0
CRW_23S_B_Ac_34;CRW_23S_B_P_1;0
CRW_23S_B_Ac_34;CRW_23S_B_P_24;0
CRW_23S_B_Ac_34;CRW_23S_B_P_27;0
CRW_23S_B_Ac_34;CRW_23S_B_P_28;12
CRW_23S_B_Ac_34;CRW_23S_B_P_29;0
CRW_23S_B_Ac_34;CRW_23S_B_P_2;0
CRW_23S_B_Ac_34;CRW_23S_B_P_38;0
CRW_23S_B_Ac_34;CRW_23S_B_P_39;0
CRW_23S_B_Ac_34;CRW_23S_B_P_40;0
CRW_23S_B_Ac_34;CRW_23S_B_P_41;0
CRW_23S_B_Ac_34;CRW_23S_B_P_43;0
CRW_23S_B_Ac_34;CRW_23S_B_P_44;0
CRW_23S_B_Ac_34;CRW_23S_B_P_5;0
CRW_23S_B_Ac_34;CRW_23S_B_P_6;1
CRW_23S_B_Ac_34;CRW_23S_B_P_7;0
CRW_23S_B_Ac_34;CRW_23S_B_P_9;0
CRW_23S_B_Ac_34;CRW_23S_B_S_31;0
CRW_23S_B_Ac_34;CRW_23S_B_S_50;0
CRW_23S_B_Ac_34;CRW_23S_B_S_8;0
CRW_23S_B_Ac_34;CRW_23S_B_T_36;0
CRW_23S_B_Ac_34;CRW_23S_B_T_37;0
CRW_23S_B_Ac_35;CRW_23S_B_C_13;12
CRW_23S_B_Ac_35;CRW_23S_B_D_20;12
CRW_23S_B_Ac_35;CRW_23S_B_D_21;12
CRW_23S_B_Ac_35;CRW_23S_B_D_49;0
CRW_23S_B_Ac_35;CRW_23S_B_F_16;12
CRW_23S_B_Ac_35;CRW_23S_B_F_17;12
CRW_23S_B_Ac_35;CRW_23S_B_F_18;12
CRW_23S_B_Ac_35;CRW_23S_B_F_19;12
CRW_23S_B_Ac_35;CRW_23S_B_F_22;12
CRW_23S_B_Ac_35;CRW_23S_B_F_23;12
CRW_23S_B_Ac_35;CRW_23S_B_F_30;12
CRW_23S_B_Ac_35;CRW_23S_B_F_32;12
CRW_23S_B_Ac_35;CRW_23S_B_F_33;12
CRW_23S_B_Ac_35;CRW_23S_B_F_3;11
CRW_23S_B_Ac_35;CRW_23S_B_F_45;12
CRW_23S_B_Ac_35;CRW_23S_B_F_46;12
CRW_23S_B_Ac_35;CRW_23S_B_F_4;12
CRW_23S_B_Ac_35;CRW_23S_B_P_10;12
CRW_23S_B_Ac_35;CRW_23S_B_P_11;12
CRW_23S_B_Ac_35;CRW_23S_B_P_12;12
CRW_23S_B_Ac_35;CRW_23S_B_P_1;12
CRW_23S_B_Ac_35;CRW_23S_B_P_24;12
CRW_23S_B_Ac_35;CRW_23S_B_P_27;12
CRW_23S_B_Ac_35;CRW_23S_B_P_28;0
CRW_23S_B_Ac_35;CRW_23S_B_P_29;12
CRW_23S_B_Ac_35;CRW_23S_B_P_2;12
CRW_23S_B_Ac_35;CRW_23S_B_P_38;12
CRW_23S_B_Ac_35;CRW_23S_B_P_39;12
CRW_23S_B_Ac_35;CRW_23S_B_P_40;12
CRW_23S_B_Ac_35;CRW_23S_B_P_41;12
CRW_23S_B_Ac_35;CRW_23S_B_P_43;12
CRW_23S_B_Ac_35;CRW_23S_B_P_44;12
CRW_23S_B_Ac_35;CRW_23S_B_P_5;12
CRW_23S_B_Ac_35;CRW_23S_B_P_6;11
CRW_23S_B_Ac_35;CRW_23S_B_P_7;12
CRW_23S_B_Ac_35;CRW_23S_B_P_9;12
CRW_23S_B_Ac_35;CRW_23S_B_S_31;12
CRW_23S_B_Ac_35;CRW_23S_B_S_50;12
CRW_23S_B_Ac_35;CRW_23S_B_S_8;12
CRW_23S_B_Ac_35;CRW_23S_B_T_36;12
CRW_23S_B_Ac_35;CRW_23S_B_T_37;12
CRW_23S_B_C_13;CRW_23S_B_D_20;0
CRW_23S_B_C_13;CRW_23S_B_D_21;0
CRW_23S_B_C_13;CRW_23S_B_D_49;12
CRW_23S_B_C_13;CRW_23S_B_F_16;0
CRW_23S_B_C_13;CRW_23S_B_F_17;0
CRW_23S_B_C_13;CRW_23S_B_F_18;0
CRW_23S_B_C_13;CRW_23S_B_F_19;0
CRW_23S_B_C_13;CRW_23S_B_F_22;0
CRW_23S_B_C_13;CRW_23S_B_F_23;0
CRW_23S_B_C_13;CRW_23S_B_F_30;0
CRW_23S_B_C_13;CRW_23S_B_F_32;0
CRW_23S_B_C_13;CRW_23S_B_F_33;0
CRW_23S_B_C_13;CRW_23S_B_F_3;1
CRW_23S_B_C_13;CRW_23S_B_F_45;0
CRW_23S_B_C_13;CRW_23S_B_F_46;0
CRW_23S_B_C_13;CRW_23S_B_F_4;0
CRW_23S_B_C_13;CRW_23S_B_P_10;0
CRW_23S_B_C_13;CRW_23S_B_P_11;0
CRW_23S_B_C_13;CRW_23S_B_P_12;0
CRW_23S_B_C_13;CRW_23S_B_P_1;0
CRW_23S_B_C_13;CRW_23S_B_P_24;0
CRW_23S_B_C_13;CRW_23S_B_P_27;0
CRW_23S_B_C_13;CRW_23S_B_P_28;12
CRW_23S_B_C_13;CRW_23S_B_P_29;0
CRW_23S_B_C_13;CRW_23S_B_P_2;0
CRW_23S_B_C_13;CRW_23S_B_P_38;0
CRW_23S_B_C_13;CRW_23S_B_P_39;0
CRW_23S_B_C_13;CRW_23S_B_P_40;0
CRW_23S_B_C_13;CRW_23S_B_P_41;0
CRW_23S_B_C_13;CRW_23S_B_P_43;0
CRW_23S_B_C_13;CRW_23S_B_P_44;0
CRW_23S_B_C_13;CRW_23S_B_P_5;0
CRW_23S_B_C_13;CRW_23S_B_P_6;1
CRW_23S_B_C_13;CRW_23S_B_P_7;0
CRW_23S_B_C_13;CRW_23S_B_P_9;0
CRW_23S_B_C_13;CRW_23S_B_S_31;0
CRW_23S_B_C_13;CRW_23S_B_S_50;0
CRW_23S_B_C_13;CRW_23S_B_S_8;0
CRW_23S_B_C_13;CRW_23S_B_T_36;0
CRW_23S_B_C_13;CRW_23S_B_T_37;0
CRW_23S_B_D_20;CRW_23S_B_D_21;0
CRW_23S_B_D_20;CRW_23S_B_D_49;12
CRW_23S_B_D_20;CRW_23S_B_F_16;0
CRW_23S_B_D_20;CRW_23S_B_F_17;0
CRW_23S_B_D_20;CRW_23S_B_F_18;0
CRW_23S_B_D_20;CRW_23S_B_F_19;0
CRW_23S_B_D_20;CRW_23S_B_F_22;0
CRW_23S_B_D_20;CRW_23S_B_F_23;0
CRW_23S_B_D_20;CRW_23S_B_F_30;0
CRW_23S_B_D_20;CRW_23S_B_F_32;0
CRW_23S_B_D_20;CRW_23S_B_F_33;0
CRW_23S_B_D_20;CRW_23S_B_F_3;1
CRW_23S_B_D_20;CRW_23S_B_F_45;0
CRW_23S_B_D_20;CRW_23S_B_F_46;0
CRW_23S_B_D_20;CRW_23S_B_F_4;0
CRW_23S_B_D_20;CRW_23S_B_P_10;0
CRW_23S_B_D_20;CRW_23S_B_P_11;0
CRW_23S_B_D_20;CRW_23S_B_P_12;0
CRW_23S_B_D_20;CRW_23S_B_P_1;0
CRW_23S_B_D_20;CRW_23S_B_P_24;0
CRW_23S_B_D_20;CRW_23S_B_P_27;0
CRW_23S_B_D_20;CRW_23S_B_P_28;12
CRW_23S_B_D_20;CRW_23S_B_P_29;0
CRW_23S_B_D_20;CRW_23S_B_P_2;0
CRW_23S_B_D_20;CRW_23S_B_P_38;0
