Id;Organism;Taxon
CRW_5S_A_C_20;Pyrobaculum aerophilum;Crenarchaeota
CRW_5S_A_C_22;Pyrodictium occultum;Crenarchaeota
CRW_5S_A_C_23;Sulfolobus acidocaldarius;Crenarchaeota
CRW_5S_A_C_24;Sulfolobus solfataricus;Crenarchaeota
CRW_5S_A_C_25;Sulfolobus sp.;Crenarchaeota
CRW_5S_A_E_10;Methanobacterium formicicum;Euryarchaeota
CRW_5S_A_E_11;Methanocaldococcus jannaschii;Euryarchaeota
CRW_5S_A_E_12;Methanocaldococcus jannaschii;Euryarchaeota
CRW_5S_A_E_14;Methanosarcina barkeri;Euryarchaeota
CRW_5S_A_E_15;Methanosarcina vacuolata;Euryarchaeota
CRW_5S_A_E_18;Methanothermus fervidus;Euryarchaeota
CRW_5S_A_E_2;Haloarcula marismortui;Euryarchaeota
CRW_5S_A_E_21;Pyrococcus woesei;Euryarchaeota
CRW_5S_A_E_26;Thermococcus celer;Euryarchaeota
CRW_5S_A_E_27;Thermoplasma acidophilum;Euryarchaeota
CRW_5S_A_E_3;Halobacterium salinarum;Euryarchaeota
CRW_5S_A_E_4;Halobacterium salinarum;Euryarchaeota
CRW_5S_A_E_5;Halococcus morrhuae;Euryarchaeota
CRW_5S_A_E_6;Halococcus morrhuae;Euryarchaeota
CRW_5S_A_E_7;Haloferax mediterranei;Euryarchaeota
CRW_5S_A_E_8;Haloferax volcanii;Euryarchaeota
CRW_5S_A_E_9;Halorubrum saccharovorum;Euryarchaeota
CRW_5S_A_E_13;Methanolobus tindarius;Euryarchaeota
CRW_5S_A_E_16;Methanothermobacter thermautotrophicus;Euryarchaeota
CRW_5S_A_E_17;Methanothermococcus thermolithotrophicus;Euryarchaeota
CRW_5S_A_E_19;Natrialba magadii;Euryarchaeota
