Id1;ValueS;ValueE
CRW_5S_A_C_20;1.066434;4.407778
CRW_5S_A_C_22;1.038203;0.327643
CRW_5S_A_C_23;1.038203;0.327643
CRW_5S_A_C_24;1.038203;0.327643
CRW_5S_A_C_25;1.038203;0.327643
CRW_5S_A_E_10;1.038203;0.327643
CRW_5S_A_E_11;1.038203;0.327643
CRW_5S_A_E_12;1.038203;0.327643
CRW_5S_A_E_13;1.066434;4.407778
CRW_5S_A_E_14;1.038203;0.327643
CRW_5S_A_E_15;1.038203;0.327643
CRW_5S_A_E_16;1.038203;0.327643
CRW_5S_A_E_17;1.038203;0.327643
CRW_5S_A_E_18;1.038203;0.327643
CRW_5S_A_E_19;1.038203;0.327643
CRW_5S_A_E_21;1.038203;0.327643
CRW_5S_A_E_26;1.038203;0.327643
CRW_5S_A_E_27;1.038203;0.327643
CRW_5S_A_E_2;1.038203;0.327643
CRW_5S_A_E_3;1.038203;0.327643
CRW_5S_A_E_4;1.038203;0.327643
CRW_5S_A_E_5;1.038203;0.327643
CRW_5S_A_E_6;1.038203;0.327643
CRW_5S_A_E_7;1.038203;0.327643
CRW_5S_A_E_8;1.038203;0.327643
CRW_5S_A_E_9;1.038203;0.327643
