Id1;Id2;Distance
CRW_16S_A_C_19;CRW_16S_A_C_1;92.25
CRW_16S_A_C_19;CRW_16S_A_C_20;136.25
CRW_16S_A_C_19;CRW_16S_A_C_21;136.25
CRW_16S_A_C_19;CRW_16S_A_C_25;137.5
CRW_16S_A_C_19;CRW_16S_A_E_10;232.25
CRW_16S_A_C_19;CRW_16S_A_E_11;232.75
CRW_16S_A_C_19;CRW_16S_A_E_13;283.25
CRW_16S_A_C_19;CRW_16S_A_E_14;281
CRW_16S_A_C_19;CRW_16S_A_E_15;296.5
CRW_16S_A_C_19;CRW_16S_A_E_16;197
CRW_16S_A_C_19;CRW_16S_A_E_17;201.75
CRW_16S_A_C_19;CRW_16S_A_E_18;184.5
CRW_16S_A_C_19;CRW_16S_A_E_23;192.5
CRW_16S_A_C_19;CRW_16S_A_E_24;286.75
CRW_16S_A_C_19;CRW_16S_A_E_2;221.75
CRW_16S_A_C_19;CRW_16S_A_E_3;279.75
CRW_16S_A_C_19;CRW_16S_A_E_4;285.75
CRW_16S_A_C_19;CRW_16S_A_E_5;275.75
CRW_16S_A_C_19;CRW_16S_A_E_6;292.5
CRW_16S_A_C_19;CRW_16S_A_E_7;239.5
CRW_16S_A_C_19;CRW_16S_A_E_8;242
CRW_16S_A_C_19;CRW_16S_A_E_9;267.5
CRW_16S_A_C_19;CRW_16S_A_N_12;219.75
CRW_16S_A_C_1;CRW_16S_A_C_20;158.5
CRW_16S_A_C_1;CRW_16S_A_C_21;158.5
CRW_16S_A_C_1;CRW_16S_A_C_25;156.25
CRW_16S_A_C_1;CRW_16S_A_E_10;236.75
CRW_16S_A_C_1;CRW_16S_A_E_11;237.25
CRW_16S_A_C_1;CRW_16S_A_E_13;302
CRW_16S_A_C_1;CRW_16S_A_E_14;301.5
CRW_16S_A_C_1;CRW_16S_A_E_15;308.75
CRW_16S_A_C_1;CRW_16S_A_E_16;195.75
CRW_16S_A_C_1;CRW_16S_A_E_17;197.5
CRW_16S_A_C_1;CRW_16S_A_E_18;186
CRW_16S_A_C_1;CRW_16S_A_E_23;199.25
CRW_16S_A_C_1;CRW_16S_A_E_24;296.25
CRW_16S_A_C_1;CRW_16S_A_E_2;236
CRW_16S_A_C_1;CRW_16S_A_E_3;295.75
CRW_16S_A_C_1;CRW_16S_A_E_4;306.25
CRW_16S_A_C_1;CRW_16S_A_E_5;293
CRW_16S_A_C_1;CRW_16S_A_E_6;302.25
CRW_16S_A_C_1;CRW_16S_A_E_7;243.25
CRW_16S_A_C_1;CRW_16S_A_E_8;246.5
CRW_16S_A_C_1;CRW_16S_A_E_9;272.5
CRW_16S_A_C_1;CRW_16S_A_N_12;222
CRW_16S_A_C_20;CRW_16S_A_C_21;0.5
CRW_16S_A_C_20;CRW_16S_A_C_25;175.5
