Id1;Id2;Distance
CRW_5S_B_Ac_30;CRW_5S_B_Ac_4;1
CRW_5S_B_Ac_30;CRW_5S_B_Ac_44;1
CRW_5S_B_Ac_30;CRW_5S_B_Ac_7;0
CRW_5S_B_Ac_30;CRW_5S_B_Ac_8;0
CRW_5S_B_Ac_30;CRW_5S_B_B_18;1
CRW_5S_B_Ac_30;CRW_5S_B_Cy_51;0
CRW_5S_B_Ac_30;CRW_5S_B_D_13;1
CRW_5S_B_Ac_30;CRW_5S_B_D_14;1
CRW_5S_B_Ac_30;CRW_5S_B_D_15;1
CRW_5S_B_Ac_30;CRW_5S_B_D_53;1
CRW_5S_B_Ac_30;CRW_5S_B_D_54;1
CRW_5S_B_Ac_30;CRW_5S_B_D_55;1
CRW_5S_B_Ac_30;CRW_5S_B_D_56;2
CRW_5S_B_Ac_30;CRW_5S_B_F_11;1
CRW_5S_B_Ac_30;CRW_5S_B_F_22;1
CRW_5S_B_Ac_30;CRW_5S_B_F_23;1
CRW_5S_B_Ac_30;CRW_5S_B_F_24;1
CRW_5S_B_Ac_30;CRW_5S_B_F_25;1
CRW_5S_B_Ac_30;CRW_5S_B_F_49;1
CRW_5S_B_Ac_30;CRW_5S_B_F_50;2
CRW_5S_B_Ac_30;CRW_5S_B_P_1;1
CRW_5S_B_Ac_30;CRW_5S_B_P_10;1
CRW_5S_B_Ac_30;CRW_5S_B_P_12;1
CRW_5S_B_Ac_30;CRW_5S_B_P_16;2
CRW_5S_B_Ac_30;CRW_5S_B_P_17;1
CRW_5S_B_Ac_30;CRW_5S_B_P_19;1
CRW_5S_B_Ac_30;CRW_5S_B_P_2;1
CRW_5S_B_Ac_30;CRW_5S_B_P_26;1
CRW_5S_B_Ac_30;CRW_5S_B_P_27;1
CRW_5S_B_Ac_30;CRW_5S_B_P_28;1
CRW_5S_B_Ac_30;CRW_5S_B_P_29;1
CRW_5S_B_Ac_30;CRW_5S_B_P_3;1
CRW_5S_B_Ac_30;CRW_5S_B_P_33;1
CRW_5S_B_Ac_30;CRW_5S_B_P_34;1
CRW_5S_B_Ac_30;CRW_5S_B_P_35;1
CRW_5S_B_Ac_30;CRW_5S_B_P_37;1
CRW_5S_B_Ac_30;CRW_5S_B_P_38;1
CRW_5S_B_Ac_30;CRW_5S_B_P_39;1
CRW_5S_B_Ac_30;CRW_5S_B_P_40;1
CRW_5S_B_Ac_30;CRW_5S_B_P_41;1
CRW_5S_B_Ac_30;CRW_5S_B_P_42;1
CRW_5S_B_Ac_30;CRW_5S_B_P_43;1
CRW_5S_B_Ac_30;CRW_5S_B_P_45;16
CRW_5S_B_Ac_30;CRW_5S_B_P_46;1
CRW_5S_B_Ac_30;CRW_5S_B_P_47;1
CRW_5S_B_Ac_30;CRW_5S_B_P_48;1
CRW_5S_B_Ac_30;CRW_5S_B_P_5;1
CRW_5S_B_Ac_30;CRW_5S_B_P_57;1
CRW_5S_B_Ac_30;CRW_5S_B_P_58;1
CRW_5S_B_Ac_30;CRW_5S_B_P_59;1
CRW_5S_B_Ac_30;CRW_5S_B_P_6;1
CRW_5S_B_Ac_30;CRW_5S_B_P_60;1
CRW_5S_B_Ac_30;CRW_5S_B_P_61;1
CRW_5S_B_Ac_30;CRW_5S_B_P_62;1
CRW_5S_B_Ac_30;CRW_5S_B_P_63;1
CRW_5S_B_Ac_30;CRW_5S_B_P_64;1
CRW_5S_B_Ac_30;CRW_5S_B_P_65;1
CRW_5S_B_Ac_30;CRW_5S_B_P_66;1
CRW_5S_B_Ac_30;CRW_5S_B_P_67;1
CRW_5S_B_Ac_30;CRW_5S_B_P_68;1
CRW_5S_B_Ac_30;CRW_5S_B_P_69;1
CRW_5S_B_Ac_30;CRW_5S_B_P_70;1
CRW_5S_B_Ac_30;CRW_5S_B_P_71;1
CRW_5S_B_Ac_30;CRW_5S_B_P_72;1
CRW_5S_B_Ac_30;CRW_5S_B_P_73;1
CRW_5S_B_Ac_30;CRW_5S_B_P_74;1
CRW_5S_B_Ac_30;CRW_5S_B_P_75;1
CRW_5S_B_Ac_30;CRW_5S_B_P_76;1
CRW_5S_B_Ac_30;CRW_5S_B_Te_31;6
CRW_5S_B_Ac_30;CRW_5S_B_Te_32;4
CRW_5S_B_Ac_4;CRW_5S_B_Ac_44;0
CRW_5S_B_Ac_4;CRW_5S_B_Ac_7;1
CRW_5S_B_Ac_4;CRW_5S_B_Ac_8;1
CRW_5S_B_Ac_4;CRW_5S_B_B_18;0
CRW_5S_B_Ac_4;CRW_5S_B_Cy_51;1
CRW_5S_B_Ac_4;CRW_5S_B_D_13;0
CRW_5S_B_Ac_4;CRW_5S_B_D_14;0
CRW_5S_B_Ac_4;CRW_5S_B_D_15;0
CRW_5S_B_Ac_4;CRW_5S_B_D_53;1
CRW_5S_B_Ac_4;CRW_5S_B_D_54;1
CRW_5S_B_Ac_4;CRW_5S_B_D_55;0
CRW_5S_B_Ac_4;CRW_5S_B_D_56;1
CRW_5S_B_Ac_4;CRW_5S_B_F_11;2
CRW_5S_B_Ac_4;CRW_5S_B_F_22;2
CRW_5S_B_Ac_4;CRW_5S_B_F_23;2
CRW_5S_B_Ac_4;CRW_5S_B_F_24;2
CRW_5S_B_Ac_4;CRW_5S_B_F_25;2
CRW_5S_B_Ac_4;CRW_5S_B_F_49;2
CRW_5S_B_Ac_4;CRW_5S_B_F_50;3
CRW_5S_B_Ac_4;CRW_5S_B_P_1;0
CRW_5S_B_Ac_4;CRW_5S_B_P_10;0
CRW_5S_B_Ac_4;CRW_5S_B_P_12;0
CRW_5S_B_Ac_4;CRW_5S_B_P_16;2
CRW_5S_B_Ac_4;CRW_5S_B_P_17;0
CRW_5S_B_Ac_4;CRW_5S_B_P_19;0
CRW_5S_B_Ac_4;CRW_5S_B_P_2;0
CRW_5S_B_Ac_4;CRW_5S_B_P_26;0
CRW_5S_B_Ac_4;CRW_5S_B_P_27;0
CRW_5S_B_Ac_4;CRW_5S_B_P_28;0
CRW_5S_B_Ac_4;CRW_5S_B_P_29;0
CRW_5S_B_Ac_4;CRW_5S_B_P_3;0
CRW_5S_B_Ac_4;CRW_5S_B_P_33;0
CRW_5S_B_Ac_4;CRW_5S_B_P_34;0
CRW_5S_B_Ac_4;CRW_5S_B_P_35;0
CRW_5S_B_Ac_4;CRW_5S_B_P_37;0
CRW_5S_B_Ac_4;CRW_5S_B_P_38;0
CRW_5S_B_Ac_4;CRW_5S_B_P_39;0
CRW_5S_B_Ac_4;CRW_5S_B_P_40;0
CRW_5S_B_Ac_4;CRW_5S_B_P_41;0
CRW_5S_B_Ac_4;CRW_5S_B_P_42;0
CRW_5S_B_Ac_4;CRW_5S_B_P_43;1
CRW_5S_B_Ac_4;CRW_5S_B_P_45;16
