FileName1,NumberOfNucleotides1,NumberOfWeakBonds1,IsPseudoknotted1,TimeToGenerateStructuralSequence1[ns],FileName2,NumberOfNucleotides2,NumberOfWeakBonds2,IsPseudoknotted2,TimeToGenerateStructuralSequence2[ns],MaxNumberOfNucleotides1-2,STREQDistance,TimeToCalculateSTREQDistance[ns]
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_104.ct",1677,387,Yes,1554500,1677,840,31932174
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_125.ct",1669,398,Yes,1578256,1669,851,7463186
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_159.ct",1701,462,Yes,774577,1701,419,2985830
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_160.ct",1663,455,Yes,728630,1663,433,2942082
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_161.ct",1723,467,Yes,739505,1723,920,1615161
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_162.ct",1780,485,Yes,621763,1780,938,1661551
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_163.ct",1775,487,Yes,588916,1775,940,1613829
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_164.ct",1775,487,Yes,617541,1775,940,1621025
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_165.ct",1776,487,Yes,604462,1776,940,1606157
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_166.ct",1780,490,Yes,617983,1780,943,1637610
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_167.ct",1782,488,Yes,586499,1782,941,1646261
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_168.ct",1763,483,Yes,577613,1763,936,1596684
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_169.ct",1720,472,Yes,542641,1720,925,1591459
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_202.ct",1772,482,Yes,560221,1772,935,1598652
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_219.ct",1773,482,Yes,560667,1773,935,1588879
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_226.ct",1882,477,Yes,546851,1882,930,1650691
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_239.ct",1771,481,Yes,588450,1771,934,1638224
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_25.ct",1426,432,Yes,460638,1487,885,1490576
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_26.ct",1447,435,Yes,452784,1487,888,1504384
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_301.ct",1771,481,Yes,561226,1771,934,1619107
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_306.ct",1774,482,Yes,555617,1774,935,1626054
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_307.ct",1778,482,Yes,557033,1778,935,1605346
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_312.ct",1771,481,Yes,548176,1771,934,1589603
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_313.ct",1772,481,Yes,558301,1772,934,1607906
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_315.ct",1810,497,Yes,584192,1810,950,1699333
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_318.ct",2090,550,Yes,734980,2090,1003,1922415
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_319.ct",2145,541,Yes,694780,2145,994,1849220
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_320.ct",2063,534,Yes,681097,2063,987,1827025
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_321.ct",2147,557,Yes,750220,2147,1010,1899659
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_322.ct",2230,564,Yes,755635,2230,1017,1922685
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_359.ct",1770,481,Yes,559852,1770,934,1594665
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_36.ct",1500,461,Yes,508910,1500,437,1512543
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_360.ct",1771,481,Yes,548324,1771,934,1581226
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_362.ct",1753,482,Yes,551670,1753,935,1630206
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_374.ct",1793,464,Yes,511236,1793,917,1538625
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_382.ct",1775,482,Yes,559134,1775,935,1584328
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_383.ct",1772,481,Yes,548173,1772,934,1567299
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_A_384.ct",1768,481,Yes,544844,1768,934,1542565
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_Am_108.ct",1861,435,Yes,445219,1861,888,1417742
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_Am_134.ct",2290,586,Yes,842744,2290,1039,1949303
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_Am_38.ct",1560,446,Yes,474606,1560,422,1802075
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_Am_63.ct",1551,384,Yes,350162,1551,837,1304745
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_C_7.ct",1493,454,Yes,484676,1493,423,1526346
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_D_233.ct",1435,395,Yes,370643,1487,848,1323282
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_D_249.ct",1550,411,Yes,400698,1550,864,1366180
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_E_127.ct",621,68,No,27576,1487,521,288628
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_E_14.ct",1491,453,Yes,506374,1491,381,1469960
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_E_262.ct",2204,490,Yes,570352,2204,943,1701902
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_E_378.ct",2252,500,Yes,598455,2252,953,1710909
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_E_379.ct",2315,494,Yes,577607,2315,947,1646538
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_E_57.ct",612,68,No,19523,1487,521,291586
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_E_80.ct",670,68,No,18697,1487,521,289373
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_106.ct",1449,377,Yes,354836,1487,830,1266161
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_109.ct",1779,383,Yes,352687,1779,836,1319684
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_116.ct",1686,403,Yes,408350,1686,856,1408201
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_122.ct",1987,544,Yes,721420,1987,997,1844618
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_138.ct",1878,519,Yes,649291,1878,972,1827908
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_139.ct",1322,391,Yes,381136,1487,844,1362468
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_140.ct",1395,420,Yes,426012,1487,873,1413393
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_141.ct",1356,390,Yes,379070,1487,843,1316997
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_142.ct",1404,398,Yes,387333,1487,851,1320026
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_143.ct",1394,405,Yes,392160,1487,858,1377485
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_148.ct",1392,409,Yes,397632,1487,862,1346435
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_153.ct",1799,498,Yes,611515,1799,951,1684396
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_170.ct",1413,414,Yes,406124,1487,867,1405364
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_179.ct",1901,521,Yes,662477,1901,974,2444888
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_186.ct",1406,420,Yes,416537,1487,873,1423312
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_188.ct",1787,494,Yes,595560,1787,947,1621678
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_192.ct",1799,497,Yes,586483,1799,950,1627744
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_198.ct",1805,502,Yes,606019,1805,955,1609994
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_199.ct",1343,411,Yes,405589,1487,864,1346144
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_206.ct",1360,403,Yes,383196,1487,856,1319288
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_212.ct",1483,467,Yes,516798,1487,920,1517389
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_213.ct",1295,393,Yes,377743,1487,846,1261809
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_214.ct",1314,392,Yes,365882,1487,845,1261860
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_215.ct",1295,388,Yes,336872,1487,841,794051
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_217.ct",1252,373,Yes,316467,1487,826,802806
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_218.ct",1234,369,Yes,304649,1487,822,788383
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_223.ct",1298,384,Yes,330671,1487,837,822922
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_227.ct",1383,401,Yes,358388,1487,854,899828
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_238.ct",1823,503,Yes,578759,1823,956,979479
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_239.ct",1357,401,Yes,372524,1487,854,848598
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_240.ct",1314,386,Yes,332635,1487,839,832231
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_244.ct",1320,392,Yes,361277,1487,845,834806
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_246.ct",1318,392,Yes,343445,1487,845,834472
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_247.ct",1319,382,Yes,324897,1487,835,835776
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_248.ct",1366,405,Yes,364140,1487,858,827295
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_253.ct",1352,397,Yes,352768,1487,850,837066
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_256.ct",1417,418,Yes,406903,1487,871,886929
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_265.ct",1352,397,Yes,352558,1487,850,864773
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_269.ct",1356,412,Yes,380076,1487,865,910775
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_270.ct",1371,403,Yes,360695,1487,856,828845
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_271.ct",1297,382,Yes,325349,1487,835,833357
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_273.ct",1830,507,Yes,581513,1830,960,1014170
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_274.ct",1831,507,Yes,580405,1831,960,1020698
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_282.ct",1795,497,Yes,578532,1795,950,1010878
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_284.ct",1242,376,Yes,338801,1487,829,792821
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_285.ct",1232,369,Yes,304601,1487,822,797452
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_286.ct",1232,369,Yes,304480,1487,822,784269
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_287.ct",1259,379,Yes,316720,1487,832,814101
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_288.ct",1232,369,Yes,309165,1487,822,783353
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_289.ct",1247,376,Yes,309675,1487,829,806208
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_291.ct",1231,369,Yes,299743,1487,822,809871
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_292.ct",1234,368,Yes,298790,1487,821,804104
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_294.ct",1232,369,Yes,300698,1487,822,787954
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_295.ct",1233,369,Yes,301271,1487,822,789819
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_297.ct",1300,387,Yes,332318,1487,840,808634
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_302.ct",1352,393,Yes,350633,1487,846,828236
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_303.ct",1280,381,Yes,319421,1487,834,795163
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_311.ct",1287,381,Yes,320231,1487,834,831684
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_323.ct",1372,405,Yes,372385,1487,858,836639
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_325.ct",1254,373,Yes,312638,1487,826,767786
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_330.ct",1804,498,Yes,556265,1804,951,1026732
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_331.ct",1796,496,Yes,551158,1796,949,1019208
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_332.ct",1398,407,Yes,364697,1487,860,851896
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_337.ct",1472,432,Yes,410364,1487,885,920648
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_342.ct",1825,501,Yes,560222,1825,954,1033634
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_347.ct",1800,499,Yes,565256,1800,952,1049841
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_356.ct",1370,407,Yes,364858,1487,860,845618
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_372.ct",1798,499,Yes,559364,1798,952,1028504
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_375.ct",1362,403,Yes,369158,1487,856,855233
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_385.ct",1798,496,Yes,547880,1798,949,1039347
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_386.ct",1231,369,Yes,304377,1487,822,785769
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_387.ct",1244,371,Yes,311455,1487,824,811555
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_388.ct",1248,376,Yes,319735,1487,829,809652
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_389.ct",1364,402,Yes,371470,1487,855,853165
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_F_390.ct",1259,366,Yes,294800,1487,819,783903
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_G_15.ct",1519,460,Yes,482215,1519,388,998099
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_G_16.ct",1519,460,Yes,471741,1519,388,968323
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_G_200.ct",1807,504,Yes,576970,1807,957,1031854
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_G_235.ct",1819,508,Yes,572843,1819,961,1037618
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_G_236.ct",1804,502,Yes,563167,1804,955,1020885
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_G_9.ct",1495,458,Yes,466427,1495,416,994912
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_H_13.ct",1483,446,Yes,439891,1487,441,958653
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_H_277.ct",2028,461,Yes,478184,2028,420,987780
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_H_278.ct",2019,460,Yes,462937,2019,425,991889
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_J_255.ct",1849,479,Yes,516567,1849,932,989132
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_M_100.ct",957,264,Yes,150024,1487,717,558967
"CRW_16S_E_A_1.ct",1487,453,Yes,9772048,"CRW_16S_E_M_102.ct",949,256,Yes,142623,1487,709,560426
