FileName1,NumberOfNucleotides1,NumberOfWeakBonds1,IsPseudoknotted1,TimeToGenerateStructuralSequence1[ns],FileName2,NumberOfNucleotides2,NumberOfWeakBonds2,IsPseudoknotted2,TimeToGenerateStructuralSequence2[ns],MaxNumberOfNucleotides1-2,STREQDistance,TimeToCalculateSTREQDistance[ns]
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_C_19.ct",1498,469,Yes,2291877,1504,397,33497310
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_C_20.ct",1495,468,Yes,2247400,1504,434,3071518
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_C_21.ct",1495,468,Yes,745978,1504,434,3073782
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_C_25.ct",1505,475,Yes,775665,1505,436,1653924
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_E_10.ct",1481,463,Yes,749494,1504,441,1599433
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_E_11.ct",1481,463,Yes,746563,1504,441,1603696
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_E_13.ct",1473,460,Yes,542800,1504,931,1579412
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_E_14.ct",1476,461,Yes,528542,1504,932,1605395
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_E_15.ct",1472,462,Yes,532571,1504,441,1576402
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_E_16.ct",1512,474,Yes,552459,1512,197,1654433
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_E_17.ct",1496,469,Yes,547493,1504,421,1584679
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_E_18.ct",1500,473,Yes,541813,1504,357,1639044
"CRW_16S_A_C_1.ct",1504,471,Yes,9855679,"CRW_16S_A_E_2.ct",1493,471,Yes,534132,1504,345,1610340
