Id1;Id2;Distance
CRW_23S_E_A_27;CRW_23S_E_A_28;0
CRW_23S_E_A_27;CRW_23S_E_A_4;1
CRW_23S_E_A_27;CRW_23S_E_F_20;9
CRW_23S_E_A_27;CRW_23S_E_F_21;1
CRW_23S_E_A_27;CRW_23S_E_F_29;0
CRW_23S_E_A_27;CRW_23S_E_G_2;3
CRW_23S_E_A_27;CRW_23S_E_M_12;9
CRW_23S_E_A_27;CRW_23S_E_M_13;8
CRW_23S_E_A_27;CRW_23S_E_M_15;8
CRW_23S_E_A_27;CRW_23S_E_M_17;9
CRW_23S_E_A_27;CRW_23S_E_M_18;8
CRW_23S_E_A_27;CRW_23S_E_M_19;8
CRW_23S_E_A_27;CRW_23S_E_M_22;9
CRW_23S_E_A_27;CRW_23S_E_M_7;8
CRW_23S_E_A_27;CRW_23S_E_V_1;3
CRW_23S_E_A_27;CRW_23S_E_V_23;1
CRW_23S_E_A_27;CRW_23S_E_V_24;9
CRW_23S_E_A_27;CRW_23S_E_V_26;9
CRW_23S_E_A_27;CRW_23S_E_V_5;3
CRW_23S_E_A_27;CRW_23S_E_V_6;3
CRW_23S_E_A_28;CRW_23S_E_A_4;1
CRW_23S_E_A_28;CRW_23S_E_F_20;9
CRW_23S_E_A_28;CRW_23S_E_F_21;1
CRW_23S_E_A_28;CRW_23S_E_F_29;0
CRW_23S_E_A_28;CRW_23S_E_G_2;3
CRW_23S_E_A_28;CRW_23S_E_M_12;9
CRW_23S_E_A_28;CRW_23S_E_M_13;8
CRW_23S_E_A_28;CRW_23S_E_M_15;8
CRW_23S_E_A_28;CRW_23S_E_M_17;9
CRW_23S_E_A_28;CRW_23S_E_M_18;8
CRW_23S_E_A_28;CRW_23S_E_M_19;8
CRW_23S_E_A_28;CRW_23S_E_M_22;9
CRW_23S_E_A_28;CRW_23S_E_M_7;8
CRW_23S_E_A_28;CRW_23S_E_V_1;3
CRW_23S_E_A_28;CRW_23S_E_V_23;1
CRW_23S_E_A_28;CRW_23S_E_V_24;9
CRW_23S_E_A_28;CRW_23S_E_V_26;9
CRW_23S_E_A_28;CRW_23S_E_V_5;3
CRW_23S_E_A_28;CRW_23S_E_V_6;3
CRW_23S_E_A_4;CRW_23S_E_F_20;10
CRW_23S_E_A_4;CRW_23S_E_F_21;2
CRW_23S_E_A_4;CRW_23S_E_F_29;1
CRW_23S_E_A_4;CRW_23S_E_G_2;2
CRW_23S_E_A_4;CRW_23S_E_M_12;10
CRW_23S_E_A_4;CRW_23S_E_M_13;9
CRW_23S_E_A_4;CRW_23S_E_M_15;9
CRW_23S_E_A_4;CRW_23S_E_M_17;10
CRW_23S_E_A_4;CRW_23S_E_M_18;9
CRW_23S_E_A_4;CRW_23S_E_M_19;9
CRW_23S_E_A_4;CRW_23S_E_M_22;10
CRW_23S_E_A_4;CRW_23S_E_M_7;9
CRW_23S_E_A_4;CRW_23S_E_V_1;2
CRW_23S_E_A_4;CRW_23S_E_V_23;2
CRW_23S_E_A_4;CRW_23S_E_V_24;10
CRW_23S_E_A_4;CRW_23S_E_V_26;10
CRW_23S_E_A_4;CRW_23S_E_V_5;2
CRW_23S_E_A_4;CRW_23S_E_V_6;2
CRW_23S_E_F_20;CRW_23S_E_F_21;8
CRW_23S_E_F_20;CRW_23S_E_F_29;9
CRW_23S_E_F_20;CRW_23S_E_G_2;12
CRW_23S_E_F_20;CRW_23S_E_M_12;0
CRW_23S_E_F_20;CRW_23S_E_M_13;1
CRW_23S_E_F_20;CRW_23S_E_M_15;1
CRW_23S_E_F_20;CRW_23S_E_M_17;0
CRW_23S_E_F_20;CRW_23S_E_M_18;1
CRW_23S_E_F_20;CRW_23S_E_M_19;1
CRW_23S_E_F_20;CRW_23S_E_M_22;0
CRW_23S_E_F_20;CRW_23S_E_M_7;1
CRW_23S_E_F_20;CRW_23S_E_V_1;12
CRW_23S_E_F_20;CRW_23S_E_V_23;8
CRW_23S_E_F_20;CRW_23S_E_V_24;0
CRW_23S_E_F_20;CRW_23S_E_V_26;0
CRW_23S_E_F_20;CRW_23S_E_V_5;12
CRW_23S_E_F_20;CRW_23S_E_V_6;12
CRW_23S_E_F_21;CRW_23S_E_F_29;1
CRW_23S_E_F_21;CRW_23S_E_G_2;4
CRW_23S_E_F_21;CRW_23S_E_M_12;8
CRW_23S_E_F_21;CRW_23S_E_M_13;7
CRW_23S_E_F_21;CRW_23S_E_M_15;7
CRW_23S_E_F_21;CRW_23S_E_M_17;8
CRW_23S_E_F_21;CRW_23S_E_M_18;7
CRW_23S_E_F_21;CRW_23S_E_M_19;7
CRW_23S_E_F_21;CRW_23S_E_M_22;8
CRW_23S_E_F_21;CRW_23S_E_M_7;7
CRW_23S_E_F_21;CRW_23S_E_V_1;4
CRW_23S_E_F_21;CRW_23S_E_V_23;0
CRW_23S_E_F_21;CRW_23S_E_V_24;8
CRW_23S_E_F_21;CRW_23S_E_V_26;8
CRW_23S_E_F_21;CRW_23S_E_V_5;4
CRW_23S_E_F_21;CRW_23S_E_V_6;4
CRW_23S_E_F_29;CRW_23S_E_G_2;3
CRW_23S_E_F_29;CRW_23S_E_M_12;9
CRW_23S_E_F_29;CRW_23S_E_M_13;8
CRW_23S_E_F_29;CRW_23S_E_M_15;8
CRW_23S_E_F_29;CRW_23S_E_M_17;9
CRW_23S_E_F_29;CRW_23S_E_M_18;8
CRW_23S_E_F_29;CRW_23S_E_M_19;8
CRW_23S_E_F_29;CRW_23S_E_M_22;9
CRW_23S_E_F_29;CRW_23S_E_M_7;8
CRW_23S_E_F_29;CRW_23S_E_V_1;3
CRW_23S_E_F_29;CRW_23S_E_V_23;1
CRW_23S_E_F_29;CRW_23S_E_V_24;9
CRW_23S_E_F_29;CRW_23S_E_V_26;9
CRW_23S_E_F_29;CRW_23S_E_V_5;3
CRW_23S_E_F_29;CRW_23S_E_V_6;3
CRW_23S_E_G_2;CRW_23S_E_M_12;12
CRW_23S_E_G_2;CRW_23S_E_M_13;11
CRW_23S_E_G_2;CRW_23S_E_M_15;11
CRW_23S_E_G_2;CRW_23S_E_M_17;12
CRW_23S_E_G_2;CRW_23S_E_M_18;11
CRW_23S_E_G_2;CRW_23S_E_M_19;11
CRW_23S_E_G_2;CRW_23S_E_M_22;12
CRW_23S_E_G_2;CRW_23S_E_M_7;11
CRW_23S_E_G_2;CRW_23S_E_V_1;0
CRW_23S_E_G_2;CRW_23S_E_V_23;4
CRW_23S_E_G_2;CRW_23S_E_V_24;12
CRW_23S_E_G_2;CRW_23S_E_V_26;12
CRW_23S_E_G_2;CRW_23S_E_V_5;0
CRW_23S_E_G_2;CRW_23S_E_V_6;0
CRW_23S_E_M_12;CRW_23S_E_M_13;1
CRW_23S_E_M_12;CRW_23S_E_M_15;1
CRW_23S_E_M_12;CRW_23S_E_M_17;0
CRW_23S_E_M_12;CRW_23S_E_M_18;1
CRW_23S_E_M_12;CRW_23S_E_M_19;1
CRW_23S_E_M_12;CRW_23S_E_M_22;0
CRW_23S_E_M_12;CRW_23S_E_M_7;1
CRW_23S_E_M_12;CRW_23S_E_V_1;12
CRW_23S_E_M_12;CRW_23S_E_V_23;8
CRW_23S_E_M_12;CRW_23S_E_V_24;0
CRW_23S_E_M_12;CRW_23S_E_V_26;0
CRW_23S_E_M_12;CRW_23S_E_V_5;12
CRW_23S_E_M_12;CRW_23S_E_V_6;12
CRW_23S_E_M_13;CRW_23S_E_M_15;0
CRW_23S_E_M_13;CRW_23S_E_M_17;1
CRW_23S_E_M_13;CRW_23S_E_M_18;0
CRW_23S_E_M_13;CRW_23S_E_M_19;0
CRW_23S_E_M_13;CRW_23S_E_M_22;1
CRW_23S_E_M_13;CRW_23S_E_M_7;0
CRW_23S_E_M_13;CRW_23S_E_V_1;11
CRW_23S_E_M_13;CRW_23S_E_V_23;7
CRW_23S_E_M_13;CRW_23S_E_V_24;1
CRW_23S_E_M_13;CRW_23S_E_V_26;1
CRW_23S_E_M_13;CRW_23S_E_V_5;11
CRW_23S_E_M_13;CRW_23S_E_V_6;11
CRW_23S_E_M_15;CRW_23S_E_M_17;1
CRW_23S_E_M_15;CRW_23S_E_M_18;0
CRW_23S_E_M_15;CRW_23S_E_M_19;0
CRW_23S_E_M_15;CRW_23S_E_M_22;1
CRW_23S_E_M_15;CRW_23S_E_M_7;0
CRW_23S_E_M_15;CRW_23S_E_V_1;11
CRW_23S_E_M_15;CRW_23S_E_V_23;7
CRW_23S_E_M_15;CRW_23S_E_V_24;1
CRW_23S_E_M_15;CRW_23S_E_V_26;1
CRW_23S_E_M_15;CRW_23S_E_V_5;11
CRW_23S_E_M_15;CRW_23S_E_V_6;11
CRW_23S_E_M_17;CRW_23S_E_M_18;1
CRW_23S_E_M_17;CRW_23S_E_M_19;1
CRW_23S_E_M_17;CRW_23S_E_M_22;0
