Id1;Id2;Distance
CRW_16S_A_C_1;CRW_16S_A_C_19;397
CRW_16S_A_C_1;CRW_16S_A_C_20;434
CRW_16S_A_C_1;CRW_16S_A_C_21;434
CRW_16S_A_C_1;CRW_16S_A_C_25;436
CRW_16S_A_C_1;CRW_16S_A_E_10;441
CRW_16S_A_C_1;CRW_16S_A_E_11;441
CRW_16S_A_C_1;CRW_16S_A_E_13;931
CRW_16S_A_C_1;CRW_16S_A_E_14;932
CRW_16S_A_C_1;CRW_16S_A_E_15;441
CRW_16S_A_C_1;CRW_16S_A_E_16;197
CRW_16S_A_C_1;CRW_16S_A_E_17;421
CRW_16S_A_C_1;CRW_16S_A_E_18;357
CRW_16S_A_C_1;CRW_16S_A_E_2;345
CRW_16S_A_C_1;CRW_16S_A_E_23;452
CRW_16S_A_C_1;CRW_16S_A_E_24;441
CRW_16S_A_C_1;CRW_16S_A_E_3;932
CRW_16S_A_C_1;CRW_16S_A_E_4;932
CRW_16S_A_C_1;CRW_16S_A_E_5;441
CRW_16S_A_C_1;CRW_16S_A_E_6;929
CRW_16S_A_C_1;CRW_16S_A_E_7;440
CRW_16S_A_C_1;CRW_16S_A_E_8;931
CRW_16S_A_C_1;CRW_16S_A_E_9;928
CRW_16S_A_C_1;CRW_16S_A_N_12;332
CRW_16S_A_C_19;CRW_16S_A_C_20;118
CRW_16S_A_C_19;CRW_16S_A_C_21;118
CRW_16S_A_C_19;CRW_16S_A_C_25;384
CRW_16S_A_C_19;CRW_16S_A_E_10;452
CRW_16S_A_C_19;CRW_16S_A_E_11;452
CRW_16S_A_C_19;CRW_16S_A_E_13;452
CRW_16S_A_C_19;CRW_16S_A_E_14;452
CRW_16S_A_C_19;CRW_16S_A_E_15;452
CRW_16S_A_C_19;CRW_16S_A_E_16;384
CRW_16S_A_C_19;CRW_16S_A_E_17;309
CRW_16S_A_C_19;CRW_16S_A_E_18;431
CRW_16S_A_C_19;CRW_16S_A_E_2;429
CRW_16S_A_C_19;CRW_16S_A_E_23;441
CRW_16S_A_C_19;CRW_16S_A_E_24;452
CRW_16S_A_C_19;CRW_16S_A_E_3;452
CRW_16S_A_C_19;CRW_16S_A_E_4;452
CRW_16S_A_C_19;CRW_16S_A_E_5;452
CRW_16S_A_C_19;CRW_16S_A_E_6;927
CRW_16S_A_C_19;CRW_16S_A_E_7;451
CRW_16S_A_C_19;CRW_16S_A_E_8;440
CRW_16S_A_C_19;CRW_16S_A_E_9;926
CRW_16S_A_C_19;CRW_16S_A_N_12;405
CRW_16S_A_C_20;CRW_16S_A_C_21;0
CRW_16S_A_C_20;CRW_16S_A_C_25;334
CRW_16S_A_C_20;CRW_16S_A_E_10;451
CRW_16S_A_C_20;CRW_16S_A_E_11;451
CRW_16S_A_C_20;CRW_16S_A_E_13;451
CRW_16S_A_C_20;CRW_16S_A_E_14;451
CRW_16S_A_C_20;CRW_16S_A_E_15;451
CRW_16S_A_C_20;CRW_16S_A_E_16;385
CRW_16S_A_C_20;CRW_16S_A_E_17;263
CRW_16S_A_C_20;CRW_16S_A_E_18;432
CRW_16S_A_C_20;CRW_16S_A_E_2;430
CRW_16S_A_C_20;CRW_16S_A_E_23;426
CRW_16S_A_C_20;CRW_16S_A_E_24;451
CRW_16S_A_C_20;CRW_16S_A_E_3;451
CRW_16S_A_C_20;CRW_16S_A_E_4;451
CRW_16S_A_C_20;CRW_16S_A_E_5;451
CRW_16S_A_C_20;CRW_16S_A_E_6;926
CRW_16S_A_C_20;CRW_16S_A_E_7;450
CRW_16S_A_C_20;CRW_16S_A_E_8;439
CRW_16S_A_C_20;CRW_16S_A_E_9;925
CRW_16S_A_C_20;CRW_16S_A_N_12;442
CRW_16S_A_C_21;CRW_16S_A_C_25;334
CRW_16S_A_C_21;CRW_16S_A_E_10;451
CRW_16S_A_C_21;CRW_16S_A_E_11;451
CRW_16S_A_C_21;CRW_16S_A_E_13;451
CRW_16S_A_C_21;CRW_16S_A_E_14;451
CRW_16S_A_C_21;CRW_16S_A_E_15;451
CRW_16S_A_C_21;CRW_16S_A_E_16;385
CRW_16S_A_C_21;CRW_16S_A_E_17;263
CRW_16S_A_C_21;CRW_16S_A_E_18;432
CRW_16S_A_C_21;CRW_16S_A_E_2;430
CRW_16S_A_C_21;CRW_16S_A_E_23;426
CRW_16S_A_C_21;CRW_16S_A_E_24;451
CRW_16S_A_C_21;CRW_16S_A_E_3;451
CRW_16S_A_C_21;CRW_16S_A_E_4;451
CRW_16S_A_C_21;CRW_16S_A_E_5;451
CRW_16S_A_C_21;CRW_16S_A_E_6;926
CRW_16S_A_C_21;CRW_16S_A_E_7;450
CRW_16S_A_C_21;CRW_16S_A_E_8;439
CRW_16S_A_C_21;CRW_16S_A_E_9;925
CRW_16S_A_C_21;CRW_16S_A_N_12;442
CRW_16S_A_C_25;CRW_16S_A_E_10;938
CRW_16S_A_C_25;CRW_16S_A_E_11;938
CRW_16S_A_C_25;CRW_16S_A_E_13;935
CRW_16S_A_C_25;CRW_16S_A_E_14;936
CRW_16S_A_C_25;CRW_16S_A_E_15;937
CRW_16S_A_C_25;CRW_16S_A_E_16;383
CRW_16S_A_C_25;CRW_16S_A_E_17;264
CRW_16S_A_C_25;CRW_16S_A_E_18;197
CRW_16S_A_C_25;CRW_16S_A_E_2;197
CRW_16S_A_C_25;CRW_16S_A_E_23;444
CRW_16S_A_C_25;CRW_16S_A_E_24;937
CRW_16S_A_C_25;CRW_16S_A_E_3;936
CRW_16S_A_C_25;CRW_16S_A_E_4;936
CRW_16S_A_C_25;CRW_16S_A_E_5;937
CRW_16S_A_C_25;CRW_16S_A_E_6;933
CRW_16S_A_C_25;CRW_16S_A_E_7;937
CRW_16S_A_C_25;CRW_16S_A_E_8;935
CRW_16S_A_C_25;CRW_16S_A_E_9;932
CRW_16S_A_C_25;CRW_16S_A_N_12;442
CRW_16S_A_E_10;CRW_16S_A_E_11;0
CRW_16S_A_E_10;CRW_16S_A_E_13;309
CRW_16S_A_E_10;CRW_16S_A_E_14;308
CRW_16S_A_E_10;CRW_16S_A_E_15;39
CRW_16S_A_E_10;CRW_16S_A_E_16;937
CRW_16S_A_E_10;CRW_16S_A_E_17;450
CRW_16S_A_E_10;CRW_16S_A_E_18;936
CRW_16S_A_E_10;CRW_16S_A_E_2;446
CRW_16S_A_E_10;CRW_16S_A_E_23;435
CRW_16S_A_E_10;CRW_16S_A_E_24;39
CRW_16S_A_E_10;CRW_16S_A_E_3;384
CRW_16S_A_E_10;CRW_16S_A_E_4;384
CRW_16S_A_E_10;CRW_16S_A_E_5;146
CRW_16S_A_E_10;CRW_16S_A_E_6;340
CRW_16S_A_E_10;CRW_16S_A_E_7;135
CRW_16S_A_E_10;CRW_16S_A_E_8;429
CRW_16S_A_E_10;CRW_16S_A_E_9;428
CRW_16S_A_E_10;CRW_16S_A_N_12;937
CRW_16S_A_E_11;CRW_16S_A_E_13;309
CRW_16S_A_E_11;CRW_16S_A_E_14;308
CRW_16S_A_E_11;CRW_16S_A_E_15;39
CRW_16S_A_E_11;CRW_16S_A_E_16;937
CRW_16S_A_E_11;CRW_16S_A_E_17;450
CRW_16S_A_E_11;CRW_16S_A_E_18;936
CRW_16S_A_E_11;CRW_16S_A_E_2;446
CRW_16S_A_E_11;CRW_16S_A_E_23;435
CRW_16S_A_E_11;CRW_16S_A_E_24;39
CRW_16S_A_E_11;CRW_16S_A_E_3;384
CRW_16S_A_E_11;CRW_16S_A_E_4;384
CRW_16S_A_E_11;CRW_16S_A_E_5;146
CRW_16S_A_E_11;CRW_16S_A_E_6;340
CRW_16S_A_E_11;CRW_16S_A_E_7;135
CRW_16S_A_E_11;CRW_16S_A_E_8;429
CRW_16S_A_E_11;CRW_16S_A_E_9;428
CRW_16S_A_E_11;CRW_16S_A_N_12;937
CRW_16S_A_E_13;CRW_16S_A_E_14;11
CRW_16S_A_E_13;CRW_16S_A_E_15;333
CRW_16S_A_E_13;CRW_16S_A_E_16;934
CRW_16S_A_E_13;CRW_16S_A_E_17;453
CRW_16S_A_E_13;CRW_16S_A_E_18;933
CRW_16S_A_E_13;CRW_16S_A_E_2;931
CRW_16S_A_E_13;CRW_16S_A_E_23;439
CRW_16S_A_E_13;CRW_16S_A_E_24;333
CRW_16S_A_E_13;CRW_16S_A_E_3;137
CRW_16S_A_E_13;CRW_16S_A_E_4;137
