Id;Organism;Taxon
CRW_5S_B_P_1;Acidithiobacillus ferrooxidans;Proteobacteria
CRW_5S_B_P_2;Acidithiobacillus ferrooxidans;Proteobacteria
CRW_5S_B_P_3;Acidithiobacillus thiooxidans;Proteobacteria
CRW_5S_B_Ac_4;Actinomadura madurae;Actinobacteria
CRW_5S_B_P_5;Agrobacterium tumefaciens;Proteobacteria
CRW_5S_B_P_6;Alcaligenes faecalis;Proteobacteria
CRW_5S_B_Ac_7;Arthrobacter globiformis;Actinobacteria
CRW_5S_B_Ac_8;Arthrobacter globiformis;Actinobacteria
CRW_5S_B_P_10;Azotobacter vinelandii;Proteobacteria
CRW_5S_B_F_11;Bacillus subtilis;Firmicutes
CRW_5S_B_P_12;Beggiatoa alba;Proteobacteria
CRW_5S_B_D_13;Deinococcus radiodurans;Deinococcus-Thermus
CRW_5S_B_D_14;Deinococcus radiodurans;Deinococcus-Thermus
CRW_5S_B_D_15;Deinococcus radiodurans;Deinococcus-Thermus
CRW_5S_B_P_16;Delftia acidovorans;Proteobacteria
CRW_5S_B_P_17;Ectothiorhodospira shaposhnikovii;Proteobacteria
CRW_5S_B_B_18;Empedobacter brevis;Bacteroidetes
CRW_5S_B_P_19;Escherichia coli;Proteobacteria
CRW_5S_B_F_22;Geobacillus stearothermophilus;Firmicutes
CRW_5S_B_F_23;Geobacillus stearothermophilus;Firmicutes
CRW_5S_B_F_24;Geobacillus stearothermophilus;Firmicutes
CRW_5S_B_F_25;Geobacillus stearothermophilus;Firmicutes
CRW_5S_B_P_26;Grimontia hollisae;Proteobacteria
CRW_5S_B_P_27;Halorhodospira halophila;Proteobacteria
CRW_5S_B_P_28;Listonella anguillarum;Proteobacteria
CRW_5S_B_P_29;Listonella pelagia;Proteobacteria
CRW_5S_B_Ac_30;Micrococcus luteus;Actinobacteria
CRW_5S_B_Te_31;Mycoplasma capricolum;Tenericutes
CRW_5S_B_Te_32;Mycoplasma genitalium;Tenericutes
CRW_5S_B_P_33;Photobacterium angustum;Proteobacteria
CRW_5S_B_P_34;Photobacterium damselae subsp. Damselae;Proteobacteria
CRW_5S_B_P_35;Photobacterium sp.;Proteobacteria
CRW_5S_B_P_37;Plesiomonas shigelloides;Proteobacteria
CRW_5S_B_P_38;Proteus vulgaris;Proteobacteria
CRW_5S_B_P_39;Pseudomonas aeruginosa;Proteobacteria
CRW_5S_B_P_40;Pseudomonas aeruginosa;Proteobacteria
CRW_5S_B_P_41;Pseudomonas fluorescens;Proteobacteria
CRW_5S_B_P_42;Pseudomonas stutzeri;Proteobacteria
CRW_5S_B_P_43;Pseudomonas stutzeri;Proteobacteria
CRW_5S_B_Ac_44;Pseudonocardia hydrocarbonoxydans;Actinobacteria
CRW_5S_B_P_45;Rhodobacter capsulatus;Proteobacteria
CRW_5S_B_P_46;Shewanella colwelliana;Proteobacteria
CRW_5S_B_P_47;Shewanella hanedai;Proteobacteria
CRW_5S_B_P_48;Shewanella putrefaciens;Proteobacteria
CRW_5S_B_F_49;Sporosarcina pasteurii;Firmicutes
CRW_5S_B_F_50;Staphylococcus aureus;Firmicutes
CRW_5S_B_Cy_51;Synechococcus sp;Cyanobacteria
CRW_5S_B_D_53;Thermus sp.;Deinococcus-Thermus
CRW_5S_B_D_54;Thermus thermophilus;Deinococcus-Thermus
CRW_5S_B_D_55;Thermus thermophilus;Deinococcus-Thermus
CRW_5S_B_D_56;Thermus thermophilus;Deinococcus-Thermus
CRW_5S_B_P_57;Thiothrix nivea;Proteobacteria
CRW_5S_B_P_58;Thiothrix sp.;Proteobacteria
CRW_5S_B_P_59;Vibrio alginolyticus;Proteobacteria
CRW_5S_B_P_60;Vibrio cincinnatiensis;Proteobacteria
CRW_5S_B_P_61;Vibrio diazotrophicus;Proteobacteria
CRW_5S_B_P_62;Vibrio fluvialis;Proteobacteria
CRW_5S_B_P_63;Vibrio gazogenes;Proteobacteria
CRW_5S_B_P_64;Vibrio harveyi;Proteobacteria
CRW_5S_B_P_65;Vibrio harveyi;Proteobacteria
CRW_5S_B_P_66;Vibrio mediterranei;Proteobacteria
CRW_5S_B_P_67;Vibrio metschnikovii;Proteobacteria
CRW_5S_B_P_68;Vibrio mimicus ;Proteobacteria
CRW_5S_B_P_69;Vibrio natriegens;Proteobacteria
CRW_5S_B_P_70;Vibrio nereis;Proteobacteria
CRW_5S_B_P_71;Vibrio ordalii;Proteobacteria
CRW_5S_B_P_72;Vibrio parahaemolyticus;Proteobacteria
CRW_5S_B_P_73;Vibrio proteolyticus;Proteobacteria
CRW_5S_B_P_74;Vibrio sp.;Proteobacteria
CRW_5S_B_P_75;Vibrio tubiashii;Proteobacteria
CRW_5S_B_P_76;Vibrio vulnificus;Proteobacteria
