Id1;ValueS;ValueE
CRW_23S_E_A_4;1.211289;25027.978267
CRW_23S_E_M_15;1.243705;3017.026635
CRW_23S_E_A_27;1.027911;35831.911734
CRW_23S_E_A_28;1.000102;45904.078509
CRW_23S_E_F_20;0.993901;1577.935900
CRW_23S_E_F_21;1.066355;9339.884145
CRW_23S_E_F_29;1.063241;33392.949153
CRW_23S_E_G_2;0.952934;34445.760270
CRW_23S_E_M_12;1.237615;509.162168
CRW_23S_E_M_13;1.262047;3116.334672
CRW_23S_E_M_17;1.284138;2140.447534
CRW_23S_E_M_18;1.244098;3011.134531
CRW_23S_E_M_19;1.245575;2824.959965
CRW_23S_E_M_22;1.237596;3944.839201
CRW_23S_E_M_7;1.232662;2741.599624
CRW_23S_E_V_1;0.964665;31660.350639
CRW_23S_E_V_23;1.211776;28100.031384
CRW_23S_E_V_24;1.144109;14006.106653
CRW_23S_E_V_26;1.146563;13905.563048
CRW_23S_E_V_5;0.926555;33989.843043
CRW_23S_E_V_6;0.928894;34386.324386
