Id1;Id2;Distance
CRW_16S_E_A_104;CRW_16S_E_A_125;1186
CRW_16S_E_A_104;CRW_16S_E_A_159;2022.75
CRW_16S_E_A_104;CRW_16S_E_A_160;1534.5
CRW_16S_E_A_104;CRW_16S_E_A_161;1592.75
CRW_16S_E_A_104;CRW_16S_E_A_162;2109.5
CRW_16S_E_A_104;CRW_16S_E_A_163;2094.5
CRW_16S_E_A_104;CRW_16S_E_A_164;2087
CRW_16S_E_A_104;CRW_16S_E_A_165;2069.5
CRW_16S_E_A_104;CRW_16S_E_A_166;2075
CRW_16S_E_A_104;CRW_16S_E_A_167;2071.75
CRW_16S_E_A_104;CRW_16S_E_A_168;2049.5
CRW_16S_E_A_104;CRW_16S_E_A_169;2071.25
CRW_16S_E_A_104;CRW_16S_E_A_1;1451
CRW_16S_E_A_104;CRW_16S_E_A_202;1476
CRW_16S_E_A_104;CRW_16S_E_A_219;1685.5
CRW_16S_E_A_104;CRW_16S_E_A_226;2104.75
CRW_16S_E_A_104;CRW_16S_E_A_239;1748.25
CRW_16S_E_A_104;CRW_16S_E_A_25;1480.25
CRW_16S_E_A_104;CRW_16S_E_A_26;1828.25
CRW_16S_E_A_104;CRW_16S_E_A_301;1484.25
CRW_16S_E_A_104;CRW_16S_E_A_306;1650.5
CRW_16S_E_A_104;CRW_16S_E_A_307;1503.5
CRW_16S_E_A_104;CRW_16S_E_A_312;1487.25
CRW_16S_E_A_104;CRW_16S_E_A_313;1643.75
CRW_16S_E_A_104;CRW_16S_E_A_315;1656
CRW_16S_E_A_104;CRW_16S_E_A_318;2259
CRW_16S_E_A_104;CRW_16S_E_A_319;2155
CRW_16S_E_A_104;CRW_16S_E_A_320;2253
CRW_16S_E_A_104;CRW_16S_E_A_321;2506
CRW_16S_E_A_104;CRW_16S_E_A_322;2331.5
CRW_16S_E_A_104;CRW_16S_E_A_359;1484.75
CRW_16S_E_A_104;CRW_16S_E_A_360;1485.5
CRW_16S_E_A_104;CRW_16S_E_A_362;1417.5
CRW_16S_E_A_104;CRW_16S_E_A_36;972.75
